"workerId","place","scenario_base","scenario_num","causal_value","counterfactual_value","embedded_prompt"
"A11YS0T8MV3Q7C","Football game","scenario_1_","2","If the ref calls a flag on the home team, then the players will be frustrated.","If the ref would've called a flag on the home team, then the players wouldn't have been happy about it.","Imagine a typical Football game. Now consider this statement about that place

STATEMENT:
If the ref calls a flag on the home team, then the players will be frustrated..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Football game","scenario_1_","3","If the game ends in a tie, then the fans will not be that pleased with the outcome.","If the game would've ended in a tie, then the fans would not have been pleased with the outcome.","Imagine a typical Football game. Now consider this statement about that place

STATEMENT:
If the game ends in a tie, then the fans will not be that pleased with the outcome..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Bar","scenario_1_","1","If the lady has too much, then she might get tipsy.","If the lady hadn't had too much, then she might not have a headache.","Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the lady has too much, then she might get tipsy..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Bar","scenario_1_","2","If the Uber shows up late, then the man might have to walk.","If the Uber hadn't shown up late, then the man wouldn't have had to walk.","Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the Uber shows up late, then the man might have to walk..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Bar","scenario_1_","3","If the tip is too low, then the bartender might quit.","If the tip wasn't so low, then the bartender wouldn't have quit.","Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the tip is too low, then the bartender might quit..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Car","scenario_3_","1","If the keys don't work, then she will scream.","If the keys would've worked, then she wouldn't have screamed.","Imagine a typical Car. Now consider this statement about that place

STATEMENT:
If the keys don't work, then she will scream..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Car","scenario_3_","2","If the tire is flat, then she will call someone.","If the tire wouldn't have been flat then she wouldn't have called someone.","Imagine a typical Car. Now consider this statement about that place

STATEMENT:
If the tire is flat, then she will call someone..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Car","scenario_3_","3","If the weather is hot, then she will roll down the window.","If the weather wouldn't have been hot, then she wouldn't have rolled down the window.","Imagine a typical Car. Now consider this statement about that place

STATEMENT:
If the weather is hot, then she will roll down the window..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Zoo","scenario_2_","1","If the giraffe jumps, then it might hit its head.","If then giraffe wouldn't have jumped, then it wouldn't have hit its head.","Imagine a typical Zoo. Now consider this statement about that place

STATEMENT:
If the giraffe jumps, then it might hit its head..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Zoo","scenario_2_","2","If the child falls into the cage, then he will be eaten.","If the child would've stayed close to mom, he would'n't have been eaten.","Imagine a typical Zoo. Now consider this statement about that place

STATEMENT:
If the child falls into the cage, then he will be eaten..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1EM0NU4IIOSNL","Zoo","scenario_2_","3","If the snake slithers away, it might get run over.","If the snake would've stayed in the container, then it would'n't have been run over.","Imagine a typical Zoo. Now consider this statement about that place

STATEMENT:
If the snake slithers away, it might get run over..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","car","scenario_3_","1","If speeding you will get a ticket","If you are speeding you would've got a ticket","Imagine a typical car. Now consider this statement about that place

STATEMENT:
If speeding you will get a ticket.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","car","scenario_3_","2","Going slow is not allowed too.","If in it going slow wouldn't be allowed either","Imagine a typical car. Now consider this statement about that place

STATEMENT:
Going slow is not allowed too..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","car","scenario_3_","3","Seatbelts are a good idea","If in it wouldn't seatbelts be a good idea","Imagine a typical car. Now consider this statement about that place

STATEMENT:
Seatbelts are a good idea.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","Pool","scenario_2_","1","When there you definitedly are not allowed to pee in it.","I would've peed in it if I could have","Imagine a typical Pool. Now consider this statement about that place

STATEMENT:
When there you definitedly are not allowed to pee in it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","Pool","scenario_2_","2","If there you swim","If there I would've swam","Imagine a typical Pool. Now consider this statement about that place

STATEMENT:
If there you swim.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","Pool","scenario_2_","3","Sailing in rafts allowed","If there I would've sailed in a raft","Imagine a typical Pool. Now consider this statement about that place

STATEMENT:
Sailing in rafts allowed.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","bedroom","scenario_1_","1","If together a place for sex","If together it would've been a good idea to have sex","Imagine a typical bedroom. Now consider this statement about that place

STATEMENT:
If together a place for sex.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","bedroom","scenario_1_","2","Snoring allowed when asleep","If snoring is allowed it would've have been nice","Imagine a typical bedroom. Now consider this statement about that place

STATEMENT:
Snoring allowed when asleep.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A1F1TBDHPYAAXT","bedroom","scenario_1_","3","Dancing not allowed when there","Dancing wouldn't be allowed","Imagine a typical bedroom. Now consider this statement about that place

STATEMENT:
Dancing not allowed when there.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Coffee Shop","scenario_1_","1","If a customer leaves their laptop unattended on a table for an extended period, another customer might take it to lost and found.","If the laptop had visible personal information on the screen, another customer might not feel comfortable taking it to lost and found, fearing misuse or privacy concerns.","Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a customer leaves their laptop unattended on a table for an extended period, another customer might take it to lost and found..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Coffee Shop","scenario_1_","2","If a barista notices a regular customer looking unwell, they might offer them water or inquire if they're alright.","If the coffee shop was extremely busy and the barista was under pressure, they wouldn't have the time or attention to notice the regular customer's condition or offer personalized assistance.","Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a barista notices a regular customer looking unwell, they might offer them water or inquire if they're alright..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Coffee Shop","scenario_1_","3","If a child spills their drink on the floor, a parent or staff member will likely clean it up immediately.","If the parent was engrossed in a conversation and didn't notice the spill immediately, the staff member might be the one to take initiative and clean it up to avoid potential hazards or customer inconvenience.","Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a child spills their drink on the floor, a parent or staff member will likely clean it up immediately..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Grocery Store","scenario_2_","1","If a customer accidentally knocks over a display of fruits, they will likely apologize to a staff member and help clean it up.","If the customer knocked over the display due to wet or slippery floors, they might not feel as responsible for the accident and wouldn't be as likely to apologize or offer help, potentially creating tension with the staff.","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If a customer accidentally knocks over a display of fruits, they will likely apologize to a staff member and help clean it up..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Grocery Store","scenario_2_","2","If a child throws a tantrum because they want candy, a parent will likely try to calm them down and explain why they can't have it.","If the child has underlying emotional or sensory issues that contribute to their tantrums, the parent might not be able to calm them down easily, even with explanation, requiring different strategies or external support.","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If a child throws a tantrum because they want candy, a parent will likely try to calm them down and explain why they can't have it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Grocery Store","scenario_2_","3","If someone notices an expired product on the shelf, they might inform a staff member so it can be removed.","If the person wasn't familiar with store policies or feared judgment for reporting the product, they wouldn't be as likely to inform the staff, potentially leaving the expired item on the shelf and posing a risk to other customers.","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If someone notices an expired product on the shelf, they might inform a staff member so it can be removed..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Public Library","scenario_3_","1","If a patron returns a book several weeks overdue, they will likely owe a late fee.","If the patron had a genuine reason for the late return, such as a serious illness or family emergency, and communicated effectively with the library, they might be able to negotiate a reduced or waived late fee, demonstrating the library's understanding and flexibility.","Imagine a typical Public Library. Now consider this statement about that place

STATEMENT:
If a patron returns a book several weeks overdue, they will likely owe a late fee..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Public Library","scenario_3_","2","If a child starts running through the library, a librarian or parent might remind them to walk quietly.","If the library offered designated spaces for active play or movement breaks, the child wouldn't feel the need to run through quiet areas, promoting a more inclusive and welcoming environment for all patrons.","Imagine a typical Public Library. Now consider this statement about that place

STATEMENT:
If a child starts running through the library, a librarian or parent might remind them to walk quietly..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A29CDNFD1INS22","Public Library","scenario_3_","3","If someone donates a rare book to the library, they might receive a special thank you from the librarian or even have their name listed as a donor.","If the book wasn't actually rare or didn't align with the library's collection needs, the donor might not receive the same level of recognition, highlighting the importance of understanding collection development policies and the library's specific needs.","Imagine a typical Public Library. Now consider this statement about that place

STATEMENT:
If someone donates a rare book to the library, they might receive a special thank you from the librarian or even have their name listed as a donor..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Grocery Store","scenario_3_","1","If the lady drops her purse, she will have to pick everything up.","If the lady dropped her purse, it would've spilled everywhere.","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If the lady drops her purse, she will have to pick everything up..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Grocery Store","scenario_3_","2","If the man forgets his money, he will not be able to pay.","If the man forgets his money, he wouldn't be able to pay.","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If the man forgets his money, he will not be able to pay..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Grocery Store","scenario_3_","3","If I drop a jar, there will be a mess to clean up. ","If I drop a jar, there would've been a mess to clean up. ","Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If I drop a jar, there will be a mess to clean up. .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","School","scenario_1_","1","If the boy loses his pencil, he will not be able to write.","If the boy loses his pencil, he wouldn't be able to take the test. ","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the boy loses his pencil, he will not be able to write..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","School","scenario_1_","2","If the man drops his books, he will be late to class.","If the man drops his books, he would've been late for class.","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the man drops his books, he will be late to class..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","School","scenario_1_","3","if the lady spills her coffee, her desk will be a mess.","If the lady spilled her coffee, her desk would've been a mess. ","Imagine a typical School. Now consider this statement about that place

STATEMENT:
if the lady spills her coffee, her desk will be a mess..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Swimming Pool","scenario_2_","1","If they lose the sunscreen, they will get burned.","If they lost the sunscreen, they would've gotten a sunburn.","Imagine a typical Swimming Pool. Now consider this statement about that place

STATEMENT:
If they lose the sunscreen, they will get burned..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Swimming Pool","scenario_2_","2","If the man brings his towel, he will be able to dry off.","If the man brings his towel, he would've dried off.","Imagine a typical Swimming Pool. Now consider this statement about that place

STATEMENT:
If the man brings his towel, he will be able to dry off..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3797G2O6PW1F4","Swimming Pool","scenario_2_","3","if the children throw a ball, it will make a big splash. ","If the children thrown a ball, it would've made a big splash. ","Imagine a typical Swimming Pool. Now consider this statement about that place

STATEMENT:
if the children throw a ball, it will make a big splash. .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","Movie theater","scenario_1_","1","If the drink is spilled then someone else will clean it up.","If the drink is spilled you wouldn't clean it up.","Imagine a typical Movie theater. Now consider this statement about that place

STATEMENT:
If the drink is spilled then someone else will clean it up..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","Movie theater","scenario_1_","2","If you yell at the screen then someone will throw food at you.","If you yell at the screen then someone would've thrown food at you","Imagine a typical Movie theater. Now consider this statement about that place

STATEMENT:
If you yell at the screen then someone will throw food at you..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","Movie theater","scenario_1_","3","If you answer your phone you'll make everyone else upset.","If you answer your phone people wouldn't enjoy the movie.","Imagine a typical Movie theater. Now consider this statement about that place

STATEMENT:
If you answer your phone you'll make everyone else upset..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","dog park","scenario_3_","1","If you throw a ball for your dog another dog will take it to their owner.","If you threw a ball for your dog another dog would've taken it to their owner.","Imagine a typical dog park. Now consider this statement about that place

STATEMENT:
If you throw a ball for your dog another dog will take it to their owner..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","dog park","scenario_3_","2","If you look at your phone too much you'll miss all the cute animals.","If you looked at the phone too much you would've missed all the cute animals.","Imagine a typical dog park. Now consider this statement about that place

STATEMENT:
If you look at your phone too much you'll miss all the cute animals..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","dog park","scenario_3_","3","If your dog is too friendly they'll have to go home.","If you dog was too friendly they would've had to go home.","Imagine a typical dog park. Now consider this statement about that place

STATEMENT:
If your dog is too friendly they'll have to go home..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","mall","scenario_2_","1","If the store is closed then shoppers will still buy products.","If the store were closed then shoppers would've bought producs.","Imagine a typical mall. Now consider this statement about that place

STATEMENT:
If the store is closed then shoppers will still buy products..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","mall","scenario_2_","2","If the teenagers stop coming the mall is dead.","If the teenagers stop coming the mall would've closed.","Imagine a typical mall. Now consider this statement about that place

STATEMENT:
If the teenagers stop coming the mall is dead..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3IXWFXJC2YKU7","mall","scenario_2_","3","If you enter the store from the street the mall is failing.","If you enter the from the street the would've been failing","Imagine a typical mall. Now consider this statement about that place

STATEMENT:
If you enter the store from the street the mall is failing..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","grocery store","scenario_1_","1","If the person accidentally dropped the carton of eggs, then they would crack and make a mess on the floor","If the customer hadn't left their cart in the middle of the aisle, it wouldn't have caused a traffic jam in the grocery store","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the person accidentally dropped the carton of eggs, then they would crack and make a mess on the floor.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","grocery store","scenario_1_","2","If the customer accidentally bumped into the display of glass bottles, then some of them would likely shatter on the ground.","If the customer hadn't left their shopping cart in the middle of the aisle, it wouldn't have caused a bottleneck for other shoppers trying to pass through. 2 / 2","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the customer accidentally bumped into the display of glass bottles, then some of them would likely shatter on the ground..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","grocery store","scenario_1_","3","If the child pushed the display of glass bottles, then they would likely shatter and create a hazardous mess on the floor","If the shopper hadn't left their grocery bag unattended in the cart, it wouldn't have been stolen while they were browsing the aisles.","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the child pushed the display of glass bottles, then they would likely shatter and create a hazardous mess on the floor.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","gym","scenario_3_","1","If the person drops a weight on the floor, it could make a loud noise.","If the woman hadn't left her grocery bags unattended in the cart, they wouldn't have been stolen when she turned her back for a moment.","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If the person drops a weight on the floor, it could make a loud noise..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","gym","scenario_3_","2","If the person drops the dumbbell, it may cause a loud noise and potentially damage the floor.","If the man hadn't accidentally knocked over the display of cereal boxes, they wouldn't have spilled all over the floor and caused a mess.","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If the person drops the dumbbell, it may cause a loud noise and potentially damage the floor..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","gym","scenario_3_","3","If someone left their water bottle on the weight bench, someone else might accidentally knock it over when lifting weights, causing a spill","If the child hadn't dropped the jar of pickles, it wouldn't have shattered on the floor, causing a mess","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If someone left their water bottle on the weight bench, someone else might accidentally knock it over when lifting weights, causing a spill.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","locaion","scenario_2_","1","If a child played with the cereal boxes and knocked them off the shelf, then they might burst open, scattering cereal everywhere","If the shopper hadn't accidentally dropped the jar of pickles on the floor, it wouldn't have shattered into pieces and caused a mess in the aisle","Imagine a typical locaion. Now consider this statement about that place

STATEMENT:
If a child played with the cereal boxes and knocked them off the shelf, then they might burst open, scattering cereal everywhere.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","locaion","scenario_2_","2","If a shopper accidentally spilled a bottle of olive oil, then the floor could become dangerously slippery","If the person hadn't forgotten to grab their wallet before leaving the house, they wouldn't have had to rush back home halfway through their errands","Imagine a typical locaion. Now consider this statement about that place

STATEMENT:
If a shopper accidentally spilled a bottle of olive oil, then the floor could become dangerously slippery.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A3TZ6KG6SP9RDT","locaion","scenario_2_","3","If the customer squeezed the loaf of bread too hard, then it could become squished and flattened","If the person had returned their shopping cart to the designated area, it wouldn't have rolled away and hit another car in the parking lot","Imagine a typical locaion. Now consider this statement about that place

STATEMENT:
If the customer squeezed the loaf of bread too hard, then it could become squished and flattened.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A5P12YJP805RG","home","scenario_2_","1","if the mouse skitters across the floor then you might step on it","if you didnt walk on the floor you wouldnt step on the mouse","Imagine a typical home. Now consider this statement about that place

STATEMENT:
if the mouse skitters across the floor then you might step on it.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A5P12YJP805RG","home","scenario_2_","2","if the spider lives too long then the baby spiders will swarm","if you killed the spider it wouldnt have lain eggs","Imagine a typical home. Now consider this statement about that place

STATEMENT:
if the spider lives too long then the baby spiders will swarm.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
